#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
161,Gibraltar,170,,,,151,+2,19,,"5,046",,"7,644","226,879","33,692",Europe,198,,4
162,Libya,168,+12,5,,52,,111,,24,0.7,"6,206",904,"6,863,501",Africa,"40,854","1,372,700","1,106"
163,Guadeloupe,162,,14,,138,,10,1,405,35,"4,137","10,339","400,119",North America,"2,470","28,580",97
164,Guyana,153,,12,,70,,71,2,195,15,"1,658","2,109","786,253",South America,"5,139","65,521",474
165,Cayman Islands,150,+9,1,,75,+7,74,,"2,285",15,"11,944","181,912","65,658",North America,438,"65,658",5
166,Bermuda,141,+1,9,,112,+20,20,2,"2,263",144,"7,506","120,491","62,295",North America,442,"6,922",8
167,Brunei,141,,2,,138,,1,1,323,5,"19,516","44,645","437,139",Asia,"3,100","218,570",22
168,Cambodia,125,,,,123,,2,1,7,,"20,895","1,251","16,699,641",Asia,"133,597",,799
169,Syria,123,+1,5,,46,,72,,7,0.3,,,"17,462,715",Asia,"141,973","3,492,543",
170,Trinidad and Tobago,117,,8,,108,,1,,84,6,"3,169","2,265","1,399,135",North America,"11,958","174,892",442
171,Comoros,106,,2,,26,,78,,122,2,,,"867,979",Africa,"8,188","433,990",
172,Bahamas,102,,11,,49,+1,42,1,260,28,"2,101","5,347","392,939",North America,"3,852","35,722",187
173,Aruba,101,,3,,98,,0,,946,28,"2,134","19,994","106,730",North America,"1,057","35,577",50
174,Monaco,99,,4,,90,,5,1,"2,524",102,"16,200","413,055","39,220",Europe,396,"9,805",2
175,Barbados,92,,7,,76,,9,1,320,24,"5,471","19,040","287,348",North America,"3,123","41,050",53
176,Angola,86,,4,,18,,64,1,3,0.1,"10,000",305,"32,771,074",Africa,"381,059","8,192,769","3,277"
177,Liechtenstein,82,,1,,55,,26,,"2,151",26,900,"23,610","38,119",Europe,465,"38,119",42
178,Sint Maarten,77,,15,,60,,2,1,"1,798",350,461,"10,762","42,836",North America,556,"2,856",93
179,Burundi,63,,1,,33,,29,,5,0.08,284,24,"11,858,077",Africa,"188,223","11,858,077","41,754"
180,French Polynesia,60,,,,60,,0,,214,,"4,040","14,389","280,779",Australia/Oceania,"4,680",,69
181,Macao,45,,,,45,,0,,69,,,,"648,597",Asia,"14,413",,
182,Suriname,44,+21,1,,9,,34,,75,2,782,"1,334","586,207",South America,"13,323","586,207",750
183,Bhutan,43,,,,6,,37,,56,,"17,344","22,498","770,911",Asia,"17,928",,44
184,Saint Martin,41,,3,,33,,5,1,"1,062",78,614,"15,903","38,610",North America,942,"12,870",63
185,Eritrea,39,,,,39,,0,,11,,,,"3,542,322",Africa,"90,829",,
186,Botswana,38,+3,1,,20,,17,,16,0.4,"21,716","9,251","2,347,497",Africa,"61,776","2,347,497",108
187,Antigua and Barbuda,26,,3,,19,,4,1,266,31,183,"1,870","97,864",North America,"3,764","32,621",535
188,St. Vincent Grenadines,26,,,,15,,11,,234,,593,"5,347","110,913",North America,"4,266",,187
189,Gambia,25,,1,,20,,4,,10,0.4,"1,756",728,"2,410,463",Africa,"96,419","2,410,463","1,373"
190,Namibia,25,+1,,,16,+2,9,,10,,"3,970","1,565","2,536,955",Africa,"101,478",,639
191,Timor-Leste,24,,,,24,,0,,18,,"1,290",980,"1,316,277",Asia,"54,845",,"1,020"
192,Grenada,23,,,,18,,5,2,204,,"3,516","31,258","112,482",North America,"4,891",,32
193,New Caledonia,20,+1,,,18,,2,,70,,"6,681","23,420","285,275",Australia/Oceania,"14,264",,43
194,Curaçao,19,,1,,14,,4,,116,6,572,"3,487","164,040",North America,"8,634","164,040",287
195,Laos,19,,,,16,,3,,3,,"7,180",988,"7,266,705",Asia,"382,458",,"1,012"
196,Belize,18,,2,,16,,0,,45,5,"1,572","3,960","397,008",North America,"22,056","198,504",253
197,Fiji,18,,,,15,,3,,20,,"2,431","2,713","895,925",Australia/Oceania,"49,774",,369
198,Saint Lucia,18,,,,18,,0,,98,,"1,012","5,513","183,561",North America,"10,198",,181
199,Dominica,16,,,,16,,0,,222,,433,"6,016","71,972",North America,"4,498",,166
200,Saint Kitts and Nevis,15,,,,15,,0,,282,,396,"7,448","53,169",North America,"3,545",,134
201,Falkland Islands,13,,,,13,,0,,"3,745",,503,"144,915","3,471",South America,267,,7
202,Greenland,13,,,,11,,2,,229,,"2,141","37,719","56,762",North America,"4,366",,27
203,Turks and Caicos,12,,1,,11,,0,,310,26,153,"3,956","38,673",North America,"3,223","38,673",253
204,Vatican City,12,,,,2,,10,,"14,981",,,,801,Europe,67,,
205,Montserrat,11,,1,,10,,0,,"2,204",200,61,"12,220","4,992",North America,454,"4,992",82
206,Seychelles,11,,,,11,,0,,112,,,,"98,299",Africa,"8,936",,
207,MS Zaandam,9,,2,,,,7,,,,,,,,,,
208,Western Sahara,9,,1,,6,,2,,15,2,,,"596,026",Africa,"66,225","596,026",
209,British Virgin Islands,8,,1,,7,,0,,265,33,167,"5,527","30,215",North America,"3,777","30,215",181
